mention_type,mention,pred,pred2
2,enfamil hộp bao nhiêu gram ? giá bao nhiêu ?,2.151993751525879,4.681595325469971
2,bn __d__ thug,3.5943775177001953,5.3757452964782715
2,abbott grow __d__ có giá bao nhiêu à .,2.1718177795410156,4.571834564208984
2,giá __d__ lon __d__.__d__kg là bn ạ,2.6396288871765137,4.685192108154297
2,"adm ơi , cho em hỏi giá trên đã bao gồm thuế chưa ạ ?",2.2481114864349365,4.987205982208252
2,giá bn __d__ thẻ ạ,3.0082387924194336,5.100036144256592
2,boby giá bnhieu ạ,3.4655768871307373,5.233356952667236
2,giá bao nhiêu shop,2.1096107959747314,4.774162292480469
2,@ hồ nguyễn thanh hải : mua hom đo gia bao nhieu b,2.294480085372925,4.545681476593018
2,< iframe width= '' __d__ '' height= '' __d__ '' frameborder= '' __d__ '' > < /iframe >,2.798168420791626,4.833349227905273
2,giá bao nhiệu vậy ak,2.3381943702697754,4.7437028884887695
2,vân nguyễn bn __d__hộp ạ,3.4463388919830322,5.261791229248047
2,cho xin giá đi shop,2.576446533203125,4.660100936889648
2,sữa meji dạng thanh thì bao nhiêu tiền __d__ hộp vậy shop ?,2.3674514293670654,4.583287239074707
2,ờ để c hỏi giá 🤡🤡🤡,3.950608491897583,5.686237335205078
2,qúa ngon cho sản phẩm tầm giá này,2.967268466949463,5.5555739402771
2,gia bao nhieu zay shop,2.4054484367370605,5.017979145050049
2,bạn ơi pedi úc mua giá bnhieu ạ,2.352203607559204,5.178651809692383
2,cai đó bao nhiêu z,2.8869500160217285,5.6148223876953125
2,qled chán nhỉ góc vừa hẹp hơn thế hiện màu và nội dung cũng kém hơn mà cùng giá bán < div class= '' messagetextendmarker '' > < /div >,2.361466884613037,5.2173309326171875
2,similac pro nắp bạc giá bnhju c ?,2.8235769271850586,4.760229110717773
2,c mua bao nhiu vay ạ,2.189525604248047,4.596899032592773
2,sữa grow __d__ cho trẻ __d__-__d__ tuổi giá bnhiêu shop ?,2.9652628898620605,4.832245349884033
2,sua meji so __d__ bao nhieu ạ,2.886671543121338,4.8778300285339355
2,sữa cho trẻ hơn __d__tuổi hộp to bao nhiêu tiền .,2.3539469242095947,4.562937259674072
2,giá bao nhiu vậy shop,2.0481038093566895,4.707469940185547
2,samsung a__d__ giá giảm còn bao nhiêu shop,2.2729380130767822,4.665656566619873
2,hi vọng sam đừng bán giá cao . __d__tr đổ về thôi . < div class= '' messagetextendmarker '' > < /div >,3.102531909942627,5.687976837158203
2,m quần giá bn b,2.7217533588409424,5.29278564453125
2,bao nhju __d__ hop vay,2.3832638263702393,4.939953327178955
2,giá quần xxxl bao nhiêu,2.3846917152404785,5.030329704284668
2,__d__ '' giá bao nhiêu bạn ?,2.609947919845581,5.309471607208252
2,cbr __d__r đời __d__ __d__ cũ giờ có giá nhiêu a ơi,2.0357909202575684,4.6565632820129395
2,cho hoi tai shop minh gia sua friso gold lac tu __d__ den __d__ thang gia bao nhieu a,2.5748534202575684,4.741423606872559
2,giá bn nhể ?,2.919914722442627,4.934368133544922
2,tv sony __d__inh __d__k __d__e giá bao nhieu hả bạn,3.688284397125244,5.349520206451416
2,ngọc trần frisolac bn ah,2.9711456298828125,4.897765159606934
2,giá ntn thế b,4.176807880401611,5.7436699867248535
2,cho hỏi ti vi sony __d__in bao nhieu,2.251361846923828,4.685969352722168
2,giá bn v shop ?,2.4740490913391113,4.695087432861328
2,tivi thì lg đc yêu thích vì giá rẻ chất lượng ổn < div class= '' messagetextendmarker '' > < /div >,4.1984052658081055,5.824670791625977
2,shop ơi cho xin giá vs ạ,2.4133849143981934,4.611154556274414
2,cho vay tiền,3.208566665649414,5.475027084350586
2,giá bn __d__ b ạ,2.7207539081573486,4.7951884269714355
2,khoa lê cho cái giá đi,2.8107948303222656,4.8422627449035645
2,ad ơi. ! con __d__a__d__f giá bao nhiêu ạ. ?,2.199836254119873,5.0975823402404785
2,tôi đang có nhu cầu mua __d__x__d__e xin hỏi không lấy khuyến mãi có được trừ tiền vào sản pẩm không,3.153791904449463,5.465334415435791
2,giá xe tập đi có giảm giá ko ?,2.933555841445923,4.880588531494141
2,"__d__pl__d__gb màu đỏ fbt , máy mới giá bao nhiêu ?",3.0208702087402344,5.553375720977783
2,check giùm mình xem dòng tv ss __d__k nu__d__ có còn hàng ko,3.252809524536133,5.153224468231201
2,bobby xxl bn cái bn tiền,2.4541842937469482,4.6703104972839355
2,na vlogs sonic bao nhiu tiền z a,3.720022678375244,5.637514114379883
2,"bao nhiêu tiền __d__ lốc sữa , và nếu mua __d__ thùng thì có giảm hơn ko ạ ? cho em xin giá lun ạ. em cảm ơn !",2.4280431270599365,5.526713848114014
