mention_type,mention,pred
2,giá bn br ?,2.640960931777954
2,bobby xxl bn cái bn tiền,2.4541842937469482
2,"trịnh duy lâm ơi , hiện tại dòng x__d__f có __d__ kích thước __d__ '' ( giá __d__,__d__,__d__ vnđ ) và __d__ '' ( giá __d__,__d__,__d__ vnđ ) bạn nhé , mời bạn xem thêm thông tin về sản phẩm ở đây : http : //www.sony.com.vn/electronics/tivi/x__d__f-series/specifications",2.950800657272339
2,sữa optimom __d__ giá bn shop ? có quà tặng j k,2.7172913551330566
2,bn ak,2.334501266479492
2,ko lấy quà thì giá sao shop ?,1.963098168373108
2,giá quần xxxl bao nhiêu,2.3846917152404785
2,tv sony __d__inh __d__k __d__e giá bao nhieu hả bạn,3.688284397125244
2,__d__ phòng __d__ giường giá sao ạ,3.4992613792419434
2,cho cái giá nhỉ,2.6407339572906494
2,tôi đang có nhu cầu mua __d__x__d__e xin hỏi không lấy khuyến mãi có được trừ tiền vào sản pẩm không,3.153791904449463
2,"tempro __d__,__d__ bao nhiu",2.3868324756622314
2,nếu không lấy máy giặt thì tivi bao nhiêu ah,2.0509440898895264
2,"ad cho mình xin thông tin sản phẩm lg dual cool inverter với ạ , giá bao nhiêu một cái vậy ?",2.247549533843994
2,friso __d__ nhiu ạ,3.304234027862549
2,bn vay chi,2.7868306636810303
2,< img src= '' http : //f__d__.comstyles/yahoo/__d__.gif '' class= '' mcesmilie '' alt= '' ~o ) '' title= '' coffee ~o ) '' > chào ngày mới vcb-ers < img src= '' http : //f__d__.comstyles/yahoo/__d__.gif '' class= '' mcesmilie '' alt= '' : ) '' title= '' happy : ) '' > liệu hôm nay có giá đỏ để vào không đây ?,3.6756207942962646
2,hop chia sữa bn chị,2.8416225910186768
2,giá bao tiền vậy bảo thanh ?,2.328568458557129
2,tivi sony __d__inch bn vay,3.3244314193725586
2,chị ơi bao nhiêu vậy ạ,3.1198740005493164
2,__d__ '' giá bao nhiêu bạn ?,2.609947919845581
2,sony oled __d__ ” chip a__d__-__d__ giá mấy bác ?,2.9860787391662598
2,tính sang năm mua con sh __d__i abs . < img src= '' http : //forums.voz.vn/images/smilies/off/big_smile.gif '' border= '' __d__ '' alt= '' '' title= '' big smile '' class= '' inlineimg '' > < br > < br > < i > sent from my iphone __d__ plus using < a > vozforums < /a > < /i >,2.887057065963745
2,ti vi lg __d__ich __d__k gia nhieu,2.8940696716308594
2,c mua bao nhiu vay ạ,2.189525604248047
2,shop cho e hỏi là giá bao nhiêu __d__ bịch ạ,3.239492416381836
2,giá e,3.4163479804992676
2,giá bao nhiêu ban,2.111354112625122
2,cho e hỏi giá đỡ cục nóng __d__ngan là giá sat hay giá bằng lốc vậy ạ,2.346998453140259
2,bobby đi bn,3.4867005348205566
2,tv giờ cứ lg - sony mà chơi.k nuốt nổi tv samsung < div class= '' messagetextendmarker '' > < /div >,2.2150371074676514
2,sữa bột fiso số __d__ giá bai nhiêu ạ,2.490306854248047
2,bn tiền __d__ thùng thế ạ,2.392947196960449
2,giá thuốc . bao nhiêu vật ạ,2.5993213653564453
2,optimum gold số__d__ là giá bao nhieu vậy shop,2.540414333343506
2,bn v c,2.3230478763580322
2,giá xe tập đi có giảm giá ko ?,2.933555841445923
2,tivi sony __d__ inh gia sao ban,2.5814127922058105
2,< div class= '' bbwrapper '' > ms__d__ __d__k < /div > < div class= '' js-selecttoquoteend '' > < /div >,3.6631855964660645
2,giá bn v shop ?,2.4740490913391113
2,@ lương giá kiệt : chẳng hạn như acs giá cũng cao hơn so với dòng tivi khác.ngoài samsung ra tivi nào góp ngân hàng acs cũng chênh lệch giá bán __d__k hết.dòng samsung thì ngược lại..cũng là chung __d__ ngân hàng mà,2.448141098022461
2,sữa grow __d__ cho trẻ __d__-__d__ tuổi giá bnhiêu shop ?,2.9652628898620605
2,hop bao nhieu gr vay . giá bao nhieu,2.4964795112609863
2,giá bao nhiu shop,2.197222948074341
2,giá tiền sữa pediasure như thế nào hả em ?,2.1229610443115234
2,bn v shop,2.4152276515960693
2,cho mình hỏi tivi sony kd- __d__x__d__f giá bnhieu ạ,2.996666669845581
2,gia bao nhiu __d__ loc vậy shop,3.4390039443969727
2,giá bao nhiêu vậy adidas ơi ?,2.491417646408081
2,doi nay bn b,3.511262893676758
2,giá new là bao nhiêu nhỉ và có chiến đc pupg k,2.5785789489746094
2,< blockquote class= '' messagetext selectquotecontainer ugc basehtml '' > tv oled thì cứ chọn lg ấy bác sony nó đâu sản xuất được tấm nền oled đâu toàn mua của lg về thôi ah . < div class= '' messagetextendmarker '' > < /div > < /blockquote >,3.641246795654297
2,báo giá ?,2.5718374252319336
2,bn z shop,2.5664870738983154
2,sua nay bao nhieu tien ban oi,2.7857420444488525
2,loai __d__ in sony loai __d__ gio gia bn ak,3.211594581604004
2,giá __d__ lon __d__.__d__kg là bn ạ,2.6396288871765137
2,loại mới này giá sao em ?,2.740046739578247
2,bn tien __d__ thung pediasure vay b,2.1838538646698
2,gia bao nhieu zay shop,2.4054484367370605
2,ip__d__ gia nhiu vay,3.4736850261688232
2,__d__ inh bao nhiêu tiền ạ,2.4036014080047607
2,pediasure úc bao nhiu b,2.033783197402954
2,loại sam sung __d__ inh có trả góp không ạ,3.083223342895508
2,giá bao nhiêu vậy ? chung cư hả ? hợp đồng bao nhiêu năm ?,2.6771557331085205
2,qúa ngon cho sản phẩm tầm giá này,2.967268466949463
2,giá bn b ?,2.699418783187866
2,diẻn tich gia bao nhieu,2.441080331802368
2,cho hoi sam sung s__d__ plus ban __d__ gia bao nhieu vay,2.1868441104888916
2,tivi sony __d__in bn,3.5113494396209717
2,"con này giá sao vậy ông , __d__ camera vậy chụp ảnh thì đẹp lắm nhỉ ?",2.2738349437713623
2,cho mình ? so ny smart smart tivi __d__inch __d__k model kd-__d__x__d__e có mấy loại và giá cả cụ thể từng loại sản phẩm này mong được phản hồi xin cãm ơn,2.1341638565063477
2,giá con này thế nào anh,2.6009793281555176
2,giá bao nhiêu thế ad,2.015089511871338
2,bn __d__ thug,3.5943775177001953
2,sua pha san __d__ trai bao nhieu tien,2.9874839782714844
2,giá bao nhiêu v,2.1384639739990234
2,giá bso nhiêu,3.6292612552642822
2,vân nguyễn bn __d__hộp ạ,3.4463388919830322
2,bn tiền __d__thùng ạ,2.758113384246826
2,giá bao nhiêu vậy chị,1.8828222751617432
