mention_type,mention,pred
2,chị mua aptamil nan hoặc humana morinaga cũng dx,5.038861274719238
2,uống similac mom con tăng cân nhanh lắm,8.642472267150879
2,thị nan oke chị .sẵn sàn tiếp nè,6.206254005432129
2,"bé vào wonder week ko mom ? hoặc có thể do con ăn còn no nên chưa muốn ăn với cũng có thể là đồ ăn chưa hấp dẫn chúng à mom . mom xem sao với có thể kết hợp thêm pediasure cũng giúp bé tiêu hoá tốt hơn , ăn ngoan hơn đó mom .",7.254730224609375
2,nan mejie này kia nhạt như sữa mẹ mà k uống đc thì pediasure ngọt s uống đc mm,6.615383148193359
2,"similac advance á m , giống sưa mẹ sức đk rất cao m",5.060643196105957
2,"nguyễn thị thu hiền thế thì cứ cho bé bú mẹ ấy tốt mà , sữa mẹ tốt nhất còn muốn dặm thêm thì mom dặm friso nha cún nhà mình được hơn __d__ tháng đang uống sữa này .",5.100358009338379
2,ngũ côc ket hop sua pediasure nhé,5.644282817840576
2,mom cho bé uống pediasure ý giúp tăng chiều cao cho bé,4.977902412414551
2,"dùng frisolac gold __d__ đó mom , con mình k hợp __d__ loại này mới đổi wa dùng friso",8.513239860534668
2,ko thì cho bé uống sữa nan ak . sữa đó ko táo bón,4.982638359069824
2,uống pedia sure đi mom . con mình cingx còi . uống pedia nay thấy khác hẵn,5.1040425300598145
2,sữa nào nhanh tăng cân x họ bé trên __d__m hak mom . nan hay similac . mjk đag cho be đúng optimum .mà thấy k cai thien,7.521998405456543
2,lan hoang sữa similac í dành cho bầu và cho con bú,6.396880149841309
2,mom cho bé dùng meiji hoặc frisolac nhé mình thấy dùng meiji bé nhà mình cũng tăng cân và tiêu hóa tốt tăng cường hệ miễn dịch nữa,5.7869977951049805
2,bạn tham khảo friso xem con em đang uống hấp thu tiêu hóa và k bị bón lên cân đều,6.481314659118652
2,"similac m thấy ok hơn , sữa dòng abbott tăng cân nhanh , k táo",6.329667091369629
2,"similac c nhé , con e ú từ luk sinh tới nay __d__ tháng r , bé dc hơn __d__kg r",8.737805366516113
2,nguyễn huyền sửa nan ma.sao mom kêu sửa lan.e cung cho bé uống sửa nan úc y mom,4.990306854248047
2,similac,5.359753608703613
2,"em thấy c cho cháu uống similac hmo __d__ thử nha , dòng này có nhiều chất tốt trong sữa mẹ , tăng đề kháng , tăng hấp thụ vs cả tăng cường phát triển trsi não đó c. con em nhỏ hơn mới gần __d__ tuổi nhưng lanh khiếp lắm c",7.761710166931152
2,nan cug dc đó mẹ,6.506772041320801
2,"pediasure đi mom , con mình uống sữa này ăn uống đã lắm , ngày __d__ bữa đều đặn à mom . nhưng cũng phải đê ý cho con ngủ đúng giờ với cả vận động nhiều đó mom .",5.9589738845825195
2,"căn bản bé phải hợp sữa vs hấp thu tốt thì mới tăng cân tốt đc mom ak , mom tham khảo physiolac , pediasure , glico xem , mình thấy các mẹ khen sữa í",5.449145317077637
2,"mom mua pediasure cho con đi . con mình hồi đó đau ốm ltuc , èo à èo ũn mãi ko lớn cho uống sữa đó ít đau hẳn mà có ko chịu ăn thì cho uống sữa đó cũng đủ dưỡng chất",5.1359453201293945
2,muốn tăng chiều cao và cân nặng mom bs siro herokid gold cho con xem,5.393933296203613
2,dùng similac dạng nước mom ạ. ủn mông cho con hay ăn chóng lớn nhé .❤️,6.168484687805176
2,trang ngố m mua cho b lấy chục con ... 😂😂,8.681840896606445
2,"trần huế tập cho bé uống nan đi m , vị nhạt mát như sữa mẹ , tiêu hoá tốt , với giá cũng hợp lí 😉",6.51159143447876
2,quyên quyên mua loai nay dung ne,8.131402969360352
2,tham khảo sữa này cho bé đi chị đỗ linh vân,6.810136318206787
2,mình dùng similac hmo nha,5.19370698928833
2,thanh hồng similac cháu mình uống ít tăng hơn pediasure,7.227184295654297
2,similac __d__ á bà.. con tui uống k bị bón,6.730302333831787
2,similac di e,5.140721321105957
2,"diệp lam mom mua hộp nhỏ cho con thử trước xem hợp ko . sữa này tốt , nhiều mẹ cũng dùng",7.997827053070068
2,cho be uống pediasure đi mom,5.0364837646484375
2,giống bé chị rồi . chị cho uông similac đó em,6.3841872215271
2,giong be m qa . btoi m dam them sua pediasure xem sao,4.983105182647705
2,"bé trên __d__ tháng thì mom cho bé uống men himita cho cải thiện tiêu hóa , chứ đi ngoài suốt thì sao lớn đc , thử sữa optimum xem",5.026556491851807
2,mm tham khảo sữa cao năng lượng hoặc phát triển toàn diện friso cho bé nhé,9.049671173095703
2,"mom thử qua similac hmo xem sao , sữa này tăng sức đề kháng khá tốt , mít nhà c cũng đang uống nè",5.036957740783691
